ID	Title	Date	Language	Genre	averageRating	numVotes
22029078	Blush	1995	"{""/m/0653m"": ""Standard Mandarin""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/0gw5qqq"": ""Chinese Movies""}"	6.3	7
22029678	Reykjavik Whale Watching Massacre	2009-09	"{""/m/01gmkg"": ""Icelandic Language""}"	"{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}"	4.9	1868
22030425	Finding Bliss	2010-06-11	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy"", ""/m/0219x_"": ""Indie""}"	5.3	2371
22031823	Perumthachan	1990	"{""/m/0999q"": ""Malayalam Language""}"	"{""/m/07s9rl0"": ""Drama""}"	7.9	356
22039671	England Expects	2004-04-05	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama""}"	6.3	48
22040622	The King's Thief	1955-08-05	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02qvnvs"": ""Swashbuckler films"", ""/m/03k9fj"": ""Adventure""}"	5.7	526
22042951	C Me Dance	2009-04-03	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}"	1.2	369
22047047	The Terminators	2009-04-28	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/0219x_"": ""Indie""}"	2	2471
22047983	Daava	1997-07-18	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/03q4nz"": ""World cinema""}"	4.6	550
22056357	Traces of Red	1992-11-11	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}"	5.3	1486
22056506	The Widow's Might	2009-01-10	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04p5fxn"": ""Christian film"", ""/m/05p553"": ""Comedy film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/02djzlc"": ""Religious Film""}"	4.1	231
22059060	John and Yoko: A Love Story	1985-12-02	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04rlf"": ""Music"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film""}"	6	192
22061565	That Evening Sun	2009-11-06	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01lrrt"": ""Melodrama"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie"", ""/m/060__y"": ""Film adaptation""}"	7.1	2573
22062835	The Way Back	2010-11-25	"{""/m/05qqm"": ""Polish Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/03k9fj"": ""Adventure"", ""/m/06l3bl"": ""Epic"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3n1c"": ""Escape Film"", ""/m/03bxz7"": ""Biographical film"", ""/m/02kdv5l"": ""Action""}"	6.7	26407
22068361	Toinen jalka haudasta	2009-03-20	"{""/m/01gp_d"": ""Finnish Language""}"	"{""/m/01t_vv"": ""Comedy-drama"", ""/m/0clz1b"": ""Slice of life story""}"	5.5	197
22072852	Christmas in Boston	2005-12-15	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/0bwgnb"": ""Christmas movie"", ""/m/015w9s"": ""Television movie""}"	6.2	2123
22073629	Firaaq	2009-03-20	"{""/m/03k50"": ""Hindi Language"", ""/m/0121sr"": ""Gujarati Language"", ""/m/02hxcvy"": ""Urdu Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/02n4lw"": ""Art film"", ""/m/03q4nz"": ""World cinema""}"	7.4	1960
22077153	Five Minutes of Heaven	2009	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/03mqtr"": ""Political drama"", ""/m/0219x_"": ""Indie""}"	6.6	12115
22085818	Red Chillies	2009-02-14	"{""/m/0999q"": ""Malayalam Language""}"	"{""/m/01jfsb"": ""Thriller""}"	3.6	331
22086983	Sheesha	2005	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}"	7.1	41
22087546	Julie	2004-07-23	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}"	5.5	51
22087976	A Knight for a Day	1946-03-08	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/0hcr"": ""Animation""}"	6.8	790
22089686	A Lawless Street	1955-12-15	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western""}"	6.4	1092
22097221	Japón	2002	"{""/m/06nm1"": ""Spanish Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}"	6.9	3290
22097562	The Last Grenade	1970-03	"{""/m/02h40lc"": ""English Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film""}"	5.3	159
22099425	Action Replayy	2010-11-05	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/06n90"": ""Science Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}"	4.2	5540
22102102	Police Court	1932-02-20	"{""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"	5.4	31
22110321	Design for Living	1933-12-29	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/087lqx"": ""Pre-Code"", ""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}"	7.5	5615
22112974	The Honorary Consul	1983-09-30	"{""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama""}"	5.8	1200
22113638	Maging sino ka man	1991	"{""/m/07qv_"": ""Tagalog language"", ""/m/01jb8r"": ""Filipino language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/0gxblw4"": ""Filipino Movies"", ""/m/03q4nz"": ""World cinema""}"	9.1	60
22114132	The Avengers	2012-04-11	"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}"	8	1246435
22114746	Naanayam	2009	"{""/m/07c9s"": ""Tamil Language""}"	"{""/m/01jfsb"": ""Thriller""}"	6.7	120
22120174	Best Friends	1982-12-17	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/06qm3"": ""Screwball comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/05p553"": ""Comedy film""}"	6.4	9
22125945	Makiusap ka sa Diyos	1991	"{""/m/07qv_"": ""Tagalog language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/0gxblw4"": ""Filipino Movies"", ""/m/03q4nz"": ""World cinema""}"	6.3	25
22132828	So Big	1953-10-21	"{""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"	6.7	615
22136681	The Jailhouse	2009-05-01	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror""}"	3.6	182
22141846	Pontiac Moon	1994-11-04	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04228s"": ""Road movie"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama""}"	5.7	680
22142761	Physical Evidence	1989-01-27	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/05bh16v"": ""Courtroom Drama""}"	5.2	1552
22144721	Iron Man 2	2010-04-26	"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/04pbhw"": ""Superhero movie""}"	6.2	729
22146286	The Abduction Club	2002-07-19	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01t_vv"": ""Comedy-drama""}"	6.7	1651
22147898	Two People	1973-03-18	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}"	6	165
22151344	Ben 10: Alien Swarm	2009-11-25	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0hqxf"": ""Family Film"", ""/m/0cq23f0"": ""Sci-Fi Adventure""}"	4.6	3372
22153949	Romantic Comedy	1983-10-07	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation""}"	5.8	284
22154516	Away We Go	2009-06-05	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/0219x_"": ""Indie"", ""/m/0clz1b"": ""Slice of life story"", ""/m/04228s"": ""Road movie"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/0q9mp"": ""Tragicomedy""}"	7	51435
